batch,sim_id,rank_in_r0,rho_r0,rank_in_migidx,rho_migidx,rank_in_pop,rho_pop
batch_0,58,4,0.2797202797202798,3,0.7622377622377624,3,0.7692307692307694
batch_0,59,3,0.16783216783216784,1,0.7552447552447553,1,0.6783216783216784
batch_0,5,12,-0.46153846153846156,2,0.5734265734265735,4,0.2447552447552448
batch_0,60,11,0.14685314685314685,3,0.5664335664335665,1,0.44055944055944063
batch_0,61,5,0.8881118881118882,2,-0.1258741258741259,1,0.22377622377622378
batch_0,62,1,0.5874125874125874,1,0.5314685314685316,4,0.5524475524475525
batch_0,63,11,0.3076923076923077,3,0.8321678321678322,1,0.18881118881118883
batch_0,64,9,-0.1258741258741259,3,0.6853146853146854,2,0.7832167832167832
batch_0,65,2,0.3426573426573427,3,0.7972027972027973,1,0.2027972027972028
batch_0,66,7,0.3846153846153847,1,0.8251748251748254,2,0.6223776223776225
batch_0,67,9,-0.09090909090909093,4,0.5874125874125874,2,0.7412587412587414
batch_0,68,8,0.18181818181818185,3,0.8321678321678322,2,0.6853146853146854
batch_0,69,6,-0.1398601398601399,2,0.6293706293706295,2,0.31468531468531474
batch_0,6,2,0.5244755244755246,8,0.2027972027972028,2,0.32867132867132864
batch_0,70,11,0.3426573426573427,3,0.8321678321678322,1,0.7692307692307694
batch_0,71,11,-0.5944055944055945,3,0.7132867132867133,2,0.3706293706293707
batch_0,72,5,-0.14685314685314685,2,0.5174825174825175,6,0.3426573426573427
batch_0,73,6,0.20979020979020982,2,0.8461538461538463,2,0.8041958041958043
batch_0,74,7,-0.2867132867132868,1,0.8251748251748254,3,0.7132867132867133
batch_0,75,2,0.2377622377622378,2,0.8251748251748254,8,0.5218922189120679
batch_0,76,8,-0.3216783216783217,3,0.8041958041958043,1,0.5384615384615385
batch_0,77,5,-0.08391608391608392,2,0.8111888111888113,2,0.6503496503496504
batch_0,78,4,-0.22377622377622378,4,0.7342657342657343,3,0.23076923076923078
batch_0,79,1,0.4825174825174825,1,0.6573426573426573,6,0.3706293706293707
batch_0,7,6,-0.25874125874125875,3,0.5594405594405596,4,0.43356643356643365
batch_0,80,12,-0.5874125874125874,1,0.6923076923076924,8,0.6783216783216784
batch_0,81,12,-0.3846153846153847,1,0.7692307692307694,1,0.7762237762237763
batch_0,82,1,0.7972027972027973,2,0.8391608391608393,6,-0.5594405594405596
batch_0,83,5,0.6783216783216784,1,0.5594405594405596,2,0.6293706293706295
batch_0,84,5,-0.2937062937062937,1,0.5104895104895105,2,0.6433566433566434
batch_0,85,1,0.1328671328671329,3,0.7762237762237763,3,0.4755244755244756
batch_0,86,6,0.35664335664335667,4,-0.027972027972027972,3,0.5804195804195805
batch_0,87,1,0.5944055944055945,2,0.6713286713286714,1,0.43356643356643365
batch_0,88,4,0.5384615384615385,1,0.6853146853146854,4,0.7482517482517484
batch_0,89,9,-0.4125874125874127,3,0.8111888111888113,1,0.8251748251748254
batch_0,8,2,0.43356643356643365,5,0.5034965034965035,2,0.43356643356643365
