leaf_dist,anc_dist,leaf_brlen,anc_brlen
7.762966058005227410e+01,1.176571528427333533e+02,3.867274033650298293e+01,2.638467270393215358e+01
1.752943427100058216e+01,1.566140730862826445e+02,1.752943427100058216e+01,2.113284808445087037e+00
1.362606976182462404e+01,1.545007882778375574e+02,1.362606976182462404e+01,1.628486457350550154e+01
2.692154368088188221e+01,1.382159237043320559e+02,2.692154368088188221e+01,2.055877086159870260e+01
9.009980875464049177e+01,9.127248013880119970e+01,9.009980875464049177e+01,6.017298699139416840e+00
1.276275259285351353e+02,7.142524034583993853e+01,1.276275259285351353e+02,3.116146639632552251e+01
2.080759036963771109e+02,3.437048108368270505e+01,1.489877485857290935e+02,7.834270007763848298e+00
1.004428877070509998e+02,9.345863619433072245e+01,1.004428877070509998e+02,2.004030063398477068e+01
1.624136427113080856e+02,7.341833556034595176e+01,1.305055325817547498e+02,3.904785447666324671e+01
7.184901454783391728e+01,1.053264456898992876e+02,7.184901454783391728e+01,3.190811012955333581e+01
